                 ARRL DXCC COUNTRIES LIST
                             
      NOTE: @INDICATES ELIGIBLE FOR FIELD CHECKING.
                             
NOTE: *INDICATES CURRENT LIST OF COUNTRIES FOR WHICH QSLs MAY BE
       FORWARDED BY THE ARRL MEMBERSHIP OUTGOING QSL SERVICE.
                             
NOTE: #INDICATES COUNTRIES WITH WHICH U.S. AMATEURS MAY LEGALLY
       HANDLE THIRD-PARTY MESSAGE TRAFFIC.

NOTE: &Third-party traffic permitted with special-events stations
       in the United Kingdom having the prefix GB only, with the
       exception that GB3 stations are not included in this
       agreement.                                    
                                                        ZONE
     Prefix         Country                  Cont.    ITU   CQ
     1A0(1)         Sov. Mil. Order of Malta EU        28   15
     1S(1)          Spratly Is.              AS        50   26
    @3A*            Monaco                   EU        27   14
     3B6, 7*        Agalega & St. Brandon    AF        53   39
    @3B8*           Mauritius                AF        53   39
    @3B9*           Rodriguez I.             AF        53   39
    @3C             Equatorial Guinea        AF        47   36
     3C0            Pagalu I.                AF        52   36
    @3D2*           Fiji                     OC        56   32
    @3D2*           Conway Reef              OC        56   32
    @3D2*           Rotuma I.                OC        56   32
    @3DA#*          Swaziland                AF        57   38
     3V             Tunisia                  AF        37   33
     3W, XV         Vietnam                  AS        49   26
     3X             Guinea                   AF        46   35
     3Y*            Bouvet                   AF        67   38
     3Y*            Peter I I.               AN        72   12
     4J,4K*         Azerbaijan               AS        29   21
     4J1,R1MV*      Malyj Vysotskij I.       EU        29   16
    @4K2,UA1,R1FJ*  Franz Josef Land         EU        75   40
     4L*            Georgia                  AS        29   21
    @4P-4S*         Sri Lanka                AS        41   22
    @4U#*           ITU HQ                   EU        28   14
    @4U*            United Nations HQ        NA        08   05
    @4X, 4Z#*       Israel                   AS        39   20
     5A             Libya                    AF        38   34
    @5B*            Cyprus                   AS        39   20
    @5H-5I          Tanzania                 AF        53   37
    @5N-5O*         Nigeria                  AF        46   35
     5R-5S          Madagascar               AF        53   39
    @5T(2)          Mauritania               AF        46   35
     5U(3)          Niger                    AF        46   35
    @5V*            Togo                     AF        46   35
    @5W*            Western Samoa            OC        62   32
     5X             Uganda                   AF        48   37
    @5Y-5Z*         Kenya                    AF        48   37
    @6V-6W(4)*      Senegal                  AF        46   35
    @6Y#*           Jamaica                  NA        11   08
     7O(5)          Yemen                    AS        39   21
    @7P*            Lesotho                  AF        57   38
    @7Q             Malawi                   AF        53   37
    @7T-7Y*         Algeria                  AF        37   33
    @8P*            Barbados                 NA        11   08
    @8Q             Maldives                 AS/AF     41   22
    @8R#*           Guyana                   SA        12   09
     9A, YU2 (6)*   Croatia                  EU        28   15
     9G(7)#         Ghana                    AF        46   35
    @9H*            Malta                    EU        28   15
    @9I-9J*         Zambia                   AF        53   36
    @9K*            Kuwait                   AS        39   21
    @9L#*           Sierra Leone             AF        46   35
    @9M2, 4(8)*     West Malaysia            AS        54   28
    @9M6, 8(8)*     East Malaysia            OC        54   28
    @9N             Nepal                    AS        42   22
    @9Q-9T          Zaire                    AF        52   36
     9U(9)          Burundi                  AF        52   36
    @9V(10)         Singapore                AS        54   28
    @9X(11)         Rwanda                   AF        52   36
    @9Y-9Z#*        Trinidad & Tobago        SA        11   09
    @A2*            Botswana                 AF        57   38
    @A3*            Tonga                    OC        62   32
    @A4*            Oman                     AS        39   21
     A5             Bhutan                   AS        41   22
    @A6             United Arab Emirates     AS        39   21
    @A7*            Qatar                    AS        39   21
    @A9*            Bahrain                  AS        39   21
    @AP-AS*         Pakistan                 AS        41   21
    @BV*            Taiwan                   AS        44   24
    @BY,BT*         China                    AS        (A)  23,24
    @C2*            Nauru                    OC        65   31
    @C3*            Andorra                  EU        27   14
    @C5#*           The Gambia               AF        46   35
    @C6*            Bahamas                  NA        11   08
     C8-9           Mozambique               AF        53   37
    @CA-CE#*        Chile                    SA        14,16   12
    @CE0#*          Easter I.                SA        63   12
    @CE0#*          Juan Fernandez Is.       SA        14   12
     CE0#*          San Felix & San Ambrosio SA        14   12
    @CE9/KC4^*      Antarctica               AN        (B)  (C)
    @CM, CO#*       Cuba                     NA        11   08
    @CN*            Morocco                  AF        37   33
    @CP#*           Bolivia                  SA        12,14   10
    @CT*            Portugal                 EU        37   14
    @CT3*           Madeira Is.              AF        36   33
    @CU*            Azores                   EU        36   14
    @CV-CX#*        Uruguay                  SA        14   13
    @CY0*           Sable I.                 NA        09   05
    @CY9*           St. Paul I.              NA        09   05
     D2-3           Angola                   AF        52   36
    @D4*            Cape Verde               AF        46   35
    @D6#(11)*       Comoros                  AF        53   39
    @DA-DL,Y2-Y9(12)*Fed. Rep. of Germany    EU        28   14
    @DU-DZ#*        Philippines              OC        50   27
     E3(13)         Eritrea                  AF        48   37
    @EA-EH*         Spain                    EU        37   14
    @EA6-EH6*       Balearic Is.             EU        37   14
    @EA8-EH8*       Canary Is.               AF        36   33
    @EA9-EH9*       Ceuta & Melilla          AF        37   33
    @EI-EJ*         Ireland                  EU        27   14
     EK*            Armenia                  AS        29   21
    @EL#*           Liberia                  AF        46   35
